Category Id,Category Name,Description,Name,Price,Margin,Id
mf390,Pickles,,Aam Ka achar,49,0.2378640777,i22
mf381,Dil Bole Dilli Promotion,Aam Ka Panna,Aam Ka Panna,49,1,i21
mf433,Parantha Combos,,Achaari Paneer Parrantha - Mutigrain,123,0.0817275748,i28
mf433,Parantha Combos,,Achaari Paneer Parrantha - Whole Wheat,113,0.0750830565,i29
mf918,Promotion's,,Achari Paneer Stuffing,73,0.0728542914,i106
mf433,Parantha Combos,,Aloo Do Payaza - Mutigrain,113,0.0750830565,i30
mf433,Parantha Combos,,Aloo Do Payaza - Whole Wheat,103,0.0684385382,i40
mf918,Promotion's,,Aloo Do Pyaza Stuffing,63,0.0628742515,i107
mf918,Promotion's,,Aloo Methi Stuffing,73,0.0728542914,i117
mf416,Weekend Indulgence,"Aloo Subzi, 3 Pooris, Suji Halwa, Salad",Aloo Poori Halwa,119,0.3863636364,i27
mf918,Promotion's,"(Available from Monday to Friday)3 pcs poori,Alloo sabji with Onion Salad",Aloo Poori Jaldi Bites,69,0.0688622754,i116
mf514,Starters,,Aloo Sikandari,148,0.1202274574,i44
mf628,Mast Curry Combos,"Baigan Bharta, 2 Tawa Parrantha, Daal Tadka",Baigan Bharta Combo,119,0.0736842105,i66
mf628,Mast Curry Combos,"Cholle, Daal Makhani, Paneer Curry & 2 Missi Rotis",Balle Balle Pindi Chole,107,0.06625387,i58
mf628,Mast Curry Combos,,BB Pindi Cholle,139,0.0860681115,i61
mf237,Chai Shai at 4,Bhelpuri,Bhelpuri,48,0.0420315236,i7
mf433,Parantha Combos,,Bindaas Gobi - Mutigrain,113,0.0750830565,i39
mf433,Parantha Combos,,Bindaas Gobi - Whole Wheat,103,0.0684385382,i33
mf918,Promotion's,,Bindas Gobhi Stuffing,63,0.0628742515,i108
mf237,Chai Shai at 4,Bread Pakoda,Bread Pakoda,58,0.0507880911,i19
mf237,Chai Shai at 4,Bun Samosa,Bun Samosa,39,0.034150613,i3
mf918,Promotion's,,Carry Bag,3,0.002994012,i102
mf237,Chai Shai at 4,Chai Masala with 2 biscuits,Chai Masala,25,0.0218914186,i1
mf237,Chai Shai at 4,Cheese Maggie,Cheese Maggi,68,0.0595446585,i15
mf433,Parantha Combos,,Cheesy Spring Onion - Mutigrain,123,0.0817275748,i34
mf433,Parantha Combos,,Cheesy Spring Onion - Whole Wheat,113,0.0750830565,i35
mf918,Promotion's,,Cheesy Spring Onion Stuffing,73,0.0728542914,i109
mf433,Parantha Combos,,Chilli Cheese Parantha - Whole Wheat,113,0.0750830565,i32
mf433,Parantha Combos,,Chilli Cheese Parrantha - Mutigrain,123,0.0817275748,i31
mf918,Promotion's,,Chilli Cheese Stuffing,73,0.0728542914,i110
mf628,Mast Curry Combos,"3 Bhaturi, Cholle, Onion & Salad",Cholle Bhaturi,69,0.0427244582,i62
mf237,Chai Shai at 4,2 pcs Kulcha with Masala,Cholle Masala Kulcha,69,0.0604203152,i13
mf237,Chai Shai at 4,Cholle Samose ki Chaat (2 pcs ),Cholle Samose ki Chaat Spicy,78,0.0683012259,i11
mf514,Starters,(Extra Spicy),Cholle Samose Ki Chaat,78,0.0633631194,i50
mf720,Dum A Dum Rice Combos,,Cholle Te Chawal,108,0.1664098613,i70
mf824,Indian Breads,,Curd Large,50,0.1016260163,i97
mf824,Indian Breads,Ext Curd,Curd Small,29,0.0589430894,i101
mf237,Chai Shai at 4,Dahi Papdi Chaat (Sweet),Dahi Papdi Chaat Spicy,64,0.0560420315,i12
mf514,Starters,,Dahi Papdi Chaat,64,0.0519902518,i41
mf628,Mast Curry Combos,"Kadhai Paneer, Dal makhani, 2 masala kulchas, Salad & Raita",Dilli Kadhai Paneer Combo,129,0.079876161,i67
mf720,Dum A Dum Rice Combos,"Rajma Chawal served with papad, salad & raita",Dilli Style Rajma Chawal,108,0.1664098613,i74
mf824,Indian Breads,,Ext Bhatura,10,0.0203252033,i96
mf824,Indian Breads,,Ext Tawa Parantha,25,0.0508130081,i95
mf824,Indian Breads,,Extra Amritsari Kulcha,39,0.0792682927,i93
mf824,Indian Breads,,Extra Poori,12,0.0243902439,i90
mf628,Mast Curry Combos,"Daal Makhani, Paneer Curry, Dum Biryani & 1 Naan",Full Full Biryani Combo,139,0.0860681115,i69
mf918,Promotion's,,Green Dough,54,0.0538922156,i103
mf764,Desserts,,Gulab jamun - 1 pc,34,0.3505154639,i76
mf764,Desserts,,Gulab Jamuns- 2 pc,63,0.6494845361,i77
mf589,Halka Phulka,"Daal Tadka, 1 Veggie, 2 Phulkas, Rice, Salad & Raita.",Halka Phulka 1,99,0.2682926829,i54
